year,STATE,MEDIAN_INCOME,MEAN_INCOME,POP,ONE_RACE_POP,WHITE,BLACK,ASIAN,FOREIGN_BORN_NON_US,POVERTY_PERCENT,UNEMPLOYMENT_RATE,SCHOOL_ENROLLMENT,Total!!Estimate!!Population 18 to 24 years!!Bachelor's degree or higher,Total!!Estimate!!Population 25 to 34 years!!Bachelor's degree or higher,Total!!Estimate!!Population 35 to 44 years!!Bachelor's degree or higher,Total!!Estimate!!Population 45 to 64 years!!Bachelor's degree or higher,Total!!Estimate!!Population 65 years and over!!Bachelor's degree or higher
2016,Alabama,44758,62061,4841164,4755752,3325037,1282053,60744,106663,18.4,8.3,1193757,34870,162233,164639,307251,148953
2016,Alaska,74444,92191,736855,674515,483518,24443,44218,24109,10.1,7.8,192109,5011,30827,28230,56112,20356
2016,Arizona,51340,70432,6728577,6505998,5235158,287110,205229,536203,17.7,8,1750958,49428,238257,247374,460079,295715
2016,Arkansas,42336,58850,2968472,2902393,2307136,460638,41539,94459,18.8,6.9,745905,21085,91457,91478,158741,82770
2016,California,63783,91149,38654206,36867047,23680584,2261835,5354608,5298355,15.8,8.7,10551711,377702,1916280,1766149,3024682,1469376
2016,Colorado,62520,84384,5359295,5175560,4517058,219349,157523,317762,12.2,6,1394890,58276,309473,306991,536107,237159
2016,Connecticut,71755,102616,3588570,3481582,2768080,372696,152782,254629,10.4,8,932279,49505,183834,188916,398099,167470
2016,Delaware,61017,80432,934695,908864,647002,203027,34428,43979,12,7.1,232558,9353,41065,38512,76156,39588
2016,District of Columbia,72935,110614,659009,640764,266035,318598,24036,53982,17.9,8.7,164694,18885,104155,56171,65925,30065
2016,Florida,48900,69936,19934451,19439083,15130748,3216994,521272,1832945,16.1,8.4,4682150,148085,715813,739405,1484377,990201
2016,Georgia,51037,71420,10099320,9876863,6039389,3148134,373983,591724,17.8,8.5,2766817,84277,419391,457606,767746,293347
2016,Hawaii,71977,91169,1413673,1077044,353643,25871,537363,109721,10.8,5.5,333842,11365,62300,61274,118642,62985
2016,Idaho,49174,64513,1635483,1593433,1493155,10433,21630,61286,15.2,6.2,445695,9825,54254,60560,103653,56517
2016,Illinois,59196,81865,12851684,12551462,9270907,1837612,655799,923516,14,8.2,3384628,159240,713464,627162,1071268,422975
2016,Indiana,50433,66480,6589578,6443262,5534759,608226,130232,203764,15,6.9,1717877,61134,247305,234101,412763,173893
2016,Iowa,54570,70708,3106589,3045295,2823890,103052,66570,94491,12.3,4.5,810892,33203,131847,122454,208561,96569
2016,Kansas,53571,71975,2898292,2802262,2468923,167706,77605,126903,13.3,5.3,789812,29064,132354,123257,233051,105139
2016,Kentucky,44811,61757,4411989,4319152,3859516,350242,57084,97069,18.8,7.6,1085773,34137,152341,150734,257798,113292
2016,Louisiana,45652,65229,4645670,4560511,2909290,1494201,78719,109960,19.7,7.7,1176907,34572,173340,145928,259639,124968
2016,Maine,50826,67011,1329923,1302797,1260476,16303,14643,21540,13.5,6,296853,11291,48693,49872,115638,66367
2016,Maryland,76067,100071,5959902,5773749,3408240,1765926,362259,442757,9.9,6.7,1564161,73573,336697,333297,625140,261577
2016,Massachusetts,70954,97295,6742143,6539129,5343665,489233,411736,507234,11.4,6.8,1748398,117220,463991,394779,744370,313666
2016,Michigan,50803,68928,9909600,9637802,7817827,1376446,276769,307623,16.3,8.5,2562133,94025,376457,383188,732576,339577
2016,Minnesota,63217,83100,5450868,5302366,4597525,310853,246819,216058,10.8,4.8,1400964,63416,293631,269974,488068,202264
2016,Mississippi,40528,56358,2989192,2953825,1764038,1121327,28562,42432,22.3,9.6,802804,17614,88825,86810,153167,81089
2016,Missouri,49593,67210,6059651,5911610,5000875,701896,107953,129624,15.3,6.6,1529503,57310,262477,239470,430579,193139
2016,Montana,48380,65401,1023391,996869,911907,4260,7481,9588,14.9,5.6,236199,6622,40430,40030,81291,47321
2016,Nebraska,54384,71166,1881259,1837606,1655708,88388,39794,81949,12.4,4.2,508455,20336,90411,79888,138015,58469
2016,Nevada,53094,70855,2839172,2710136,1933057,243552,222612,292032,14.9,9.3,689934,13276,90720,89643,169439,95759
2016,New Hampshire,68485,87900,1327503,1302597,1243594,17483,32094,36090,8.5,5.1,316403,16343,59658,64225,142403,64390
2016,New Jersey,73702,101634,8915456,8689743,6075710,1207221,819208,896241,10.9,7.9,2267652,115660,495897,505252,927889,361003
2016,New Mexico,45674,63057,2082669,2014872,1530636,41957,29168,128420,20.9,8.5,557777,10810,62385,63091,148406,92356
2016,New York,60741,89397,19697457,19121017,12667413,3073278,1599216,2020397,15.5,7.5,4926760,299248,1234661,986370,1711598,758817
2016,North Carolina,48256,67367,9940828,9697458,6882915,2137131,254550,495714,16.8,8.3,2533803,92048,411722,437864,750498,340351
2016,North Dakota,59114,78828,736162,718183,649730,14761,9296,14691,11.2,2.8,181491,10445,37042,28471,49113,19928
2016,Ohio,50674,68341,11586941,11288764,9519506,1421943,224520,238914,15.4,7.2,2922228,106052,473148,444524,819523,355680
2016,Oklahoma,48038,65458,3875589,3575825,2823497,281295,77541,149627,16.5,6,999903,29005,138368,125423,235994,120330
2016,Oregon,53270,72013,3982267,3806726,3387825,74012,160155,228675,15.7,8.1,960816,31669,178734,187370,318544,181725
2016,Pennsylvania,54895,75235,12783977,12498209,10402743,1410563,401979,393307,13.3,7.2,3031943,145046,613373,535617,1005325,441635
2016,Rhode Island,58387,79024,1054491,1024433,854026,68886,34598,67927,13.8,7.7,266870,14782,51081,45272,95159,43716
2016,South Carolina,46898,64115,4834605,4734523,3252252,1322368,68553,139895,17.2,8.4,1202103,41025,175939,175571,333646,179901
2016,South Dakota,52078,68419,851058,828819,721410,14078,11351,17337,14,4.1,217046,7237,34749,31279,58326,28431
2016,Tennessee,46574,65368,6548009,6414799,5096733,1100577,105368,198620,17.2,7.5,1584716,57743,257011,243048,427610,194747
2016,Texas,54727,77585,26956435,26283035,20174403,3221133,1175423,2904541,16.7,6.4,7488362,222735,1135128,1105762,1801352,758435
