state,year,hate_crime
AZ,2016,11
AZ,2017,20
AZ,2018,13
AZ,2019,8
AZ,2020,9
CA,2016,63
CA,2017,43
CA,2018,49
CA,2019,34
CA,2020,43
CO,2016,2
CO,2017,4
CO,2018,2
CO,2019,8
CO,2020,10
CT,2016,13
CT,2017,1
CT,2018,5
CT,2019,2
CT,2020,7
DC,2016,11
DC,2017,2
DC,2018,4
DC,2019,0
DC,2020,1
FL,2016,9
FL,2017,6
FL,2018,3
FL,2019,0
FL,2020,0
GA,2016,4
GA,2017,0
GA,2018,3
GA,2019,0
GA,2020,0
IA,2016,4
IA,2017,0
IA,2018,2
IA,2019,0
IA,2020,0
ID,2016,3
ID,2017,0
ID,2018,1
ID,2019,0
ID,2020,0
IL,2016,7
IL,2017,3
IL,2018,4
IL,2019,0
IL,2020,0
IN,2016,7
IN,2017,3
IN,2018,2
IN,2019,0
IN,2020,5
KS,2016,6
KS,2017,1
KS,2018,2
KS,2019,0
KS,2020,2
KY,2016,24
KY,2017,0
KY,2018,1
KY,2019,0
KY,2020,17
LA,2016,2
LA,2017,0
LA,2018,0
LA,2019,0
LA,2020,4
MA,2016,27
MA,2017,0
MA,2018,0
MA,2019,16
MA,2020,20
NC,2016,1
NC,2017,5
NC,2018,4
NC,2019,13
NC,2020,24
NH,2016,1
NH,2017,2
NH,2018,0
NH,2019,1
NH,2020,0
NJ,2016,10
NJ,2017,23
NJ,2018,14
NJ,2019,63
NJ,2020,74
NM,2016,3
NM,2017,0
NM,2018,0
NM,2019,1
NM,2020,11
NV,2016,5
NV,2017,0
NV,2018,1
NV,2019,1
NV,2020,15
NY,2016,45
NY,2017,27
NY,2018,19
NY,2019,44
NY,2020,30
OH,2016,33
OH,2017,36
OH,2018,22
OH,2019,23
OH,2020,15
OK,2016,4
OK,2017,2
OK,2018,0
OK,2019,4
OK,2020,1
OR,2016,5
OR,2017,6
OR,2018,7
OR,2019,19
OR,2020,10
PA,2016,1
PA,2017,0
PA,2018,3
PA,2019,8
PA,2020,1
SC,2016,2
SC,2017,0
SC,2018,2
SC,2019,7
SC,2020,3
TX,2016,1
TX,2017,3
TX,2018,23
TX,2019,6
TX,2020,27
VA,2016,8
VA,2017,5
VA,2018,2
VA,2019,5
VA,2020,9
VT,2016,1
VT,2017,1
VT,2018,0
VT,2019,0
VT,2020,2
WA,2016,11
WA,2017,9
WA,2018,12
WA,2019,31
WA,2020,19
WI,2016,2
WI,2017,0
WI,2018,1
WI,2019,1
WI,2020,13
WV,2016,6
WV,2017,3
WV,2018,0
WV,2019,2
WV,2020,1
WY,2016,1
WY,2017,0
WY,2018,0
WY,2019,0
WY,2020,0
AK,2016,0
AK,2017,1
AK,2018,1
AK,2019,0
AK,2020,0
AL,2016,0
AL,2017,3
AL,2018,0
AL,2019,0
AL,2020,1
AR,2016,0
AR,2017,1
AR,2018,0
AR,2019,0
AR,2020,0
DE,2016,0
DE,2017,2
DE,2018,2
DE,2019,0
DE,2020,0
MI,2016,0
MI,2017,8
MI,2018,3
MI,2019,27
MI,2020,14
MN,2016,0
MN,2017,6
MN,2018,5
MN,2019,2
MN,2020,9
MO,2016,0
MO,2017,5
MO,2018,4
MO,2019,7
MO,2020,2
MS,2016,0
MS,2017,2
MS,2018,0
MS,2019,0
MS,2020,1
ND,2016,0
ND,2017,1
ND,2018,0
ND,2019,1
ND,2020,3
TN,2016,0
TN,2017,2
TN,2018,15
TN,2019,15
TN,2020,7
UT,2016,0
UT,2017,1
UT,2018,2
UT,2019,1
UT,2020,3
FS,2016,0
FS,2017,0
FS,2018,3
FS,2019,0
FS,2020,0
HI,2016,0
HI,2017,0
HI,2018,5
HI,2019,0
HI,2020,0
NB,2016,0
NB,2017,0
NB,2018,3
NB,2019,2
NB,2020,0
SD,2016,0
SD,2017,0
SD,2018,1
SD,2019,0
SD,2020,1
ME,2016,0
ME,2017,0
ME,2018,0
ME,2019,3
ME,2020,0
MT,2016,0
MT,2017,0
MT,2018,0
MT,2019,1
MT,2020,2
RI,2016,0
RI,2017,0
RI,2018,0
RI,2019,3
RI,2020,0
MD,2016,0
MD,2017,0
MD,2018,0
MD,2019,0
MD,2020,1
