YEAR,STATE,MEDIAN_INCOME,MEAN_INCOME,POP,ONE_RACE_POP,WHITE,BLACK,ASIAN,FOREIGN_BORN_NON_US,POVERTY_PERCENT,UNEMPLOYMENT_RATE,SCHOOL_ENROLLMENT,18_24_BACHELOR_HIGHER,25_34_BACHELOR_HIGHER,35_44_BACHELOR_HIGHER,45_64_BACHELOR_HIGHER,65_MORE_BACHELOR_HIGHER,STATE_ABBR,WHITE_PER_CAPITA,BLACK_PER_CAPITA,ASIAN_PER_CAPITA,ONE_RACE_RATIO,FOREIGN_BORN_NON_US_RATIO,SCHOOL_ENROLLMENT_RATE,BACHELOR_HIGHER_RATIO,ALL_HATE_CRIME,BLACK_HATE_CRIME,ASIAN_HATE_CRIME,ALL_HC_PER_CAPITA,BLACK_HC_PER_CAPITA_POP,BLACK_HC_PER_CAPITA_RACE_POP,ASIAN_HC_PER_CAPITA_POP,ASIAN_HC_PER_CAPITA_RACE_POP
2016,Alabama,44758,62061,4841164,4755752,3325037,1282053,60744,106663.0,18.4,8.3,1193757,34870,162233,164639,307251,148953,AL,68.6825936902778,26.48232945630431,1.2547395626341102,98.23571355979678,2.2032511189457744,24.658470566169623,16.895647410416174,14.0,8.0,0.0,0.28918665015273187,0.16524951437298965,0.6239991638411205,0.0,0.0
2017,Alabama,46472,64476,4850771,4761937,3317702,1287167,62815,106217.0,18.0,7.4,1188682,34144,163183,166115,315820,158460,AL,68.3953540581487,26.53530747998617,1.2949487823688235,98.16866226008194,2.189693143626034,24.50501167752508,17.269873180985044,14.0,2.0,3.0,1.8999667505818647,0.271423821511695,8.182301681462995,0.40713573226754246,6.784567370753992
2018,Alabama,48486,67243,4864680,4773061,3317453,1293186,64609,105024.0,17.5,6.6,1182234,34045,167325,169324,318617,167329,AL,68.19468084231646,26.583166827006092,1.3281243576144783,98.11664898821711,2.1589087051974643,24.30240015787267,17.609380267561278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Alabama,50536,69842,4876250,4784030,3320247,1299048,66270,105311.0,16.7,5.9,1175774,34600,170334,172600,324869,177969,AL,68.09017175083312,26.64030761343245,1.3590361445783132,98.10879261727762,2.159671879005383,24.112258395283263,18.054283517046912,1.0,0.0,0.0,0.03368736508210285,0.0,0.0,0.0,0.0
2020,Alabama,52035,71964,4893186,4773864,3302834,1301319,67909,101125.0,16.0,5.6,1168551,36328,176282,177156,332235,191371,AL,67.49863994542615,26.59451326804254,1.3878278896408187,97.56146608773916,2.066649418190929,23.881189065774326,18.666202347509373,26.0,15.0,1.0,0.06726305540980457,0.03880560889027186,0.6631783485532764,0.0025870405926847907,0.018675503416870107
2016,Alaska,74444,92191,736855,674515,483518,24443,44218,24109.0,10.1,7.8,192109,5011,30827,28230,56112,20356,AK,65.61915166484586,3.3172062346051803,6.000909269802064,91.53971948348047,3.2718784564127272,26.071479463395104,19.072409089983783,11.0,2.0,0.0,0.20525087721426047,0.03731834131168372,0.9117889755594966,0.0,0.0
2017,Alaska,76114,94469,738565,675852,481971,23702,45604,24207.0,10.2,7.7,189481,4989,31238,28790,55171,22622,AK,65.25776336544516,3.2091962115724413,6.174676568751566,91.50880423523996,3.2775720484994553,25.65529100350003,19.336145092171982,4.0,2.0,1.0,0.11146501252588079,0.05573250626294039,0.5366303904522721,0.027866253131470196,0.6545273657891636
2018,Alaska,76715,96499,738516,676055,478834,24129,46556,24617.0,10.8,7.4,187142,5079,31013,29121,55226,24285,AK,64.83732241413863,3.2672277919503436,6.3039934138190645,91.54236333403745,3.3333062519972487,25.340276987905476,19.59659641768086,5.0,2.0,1.0,0.5349338554287763,0.21397354217151052,0.9850906529673394,0.10698677108575526,2.9046125246892065
2019,Alaska,77640,98606,737068,676403,476015,24205,45920,24613.0,10.7,7.2,183894,4600,31411,29976,55209,25423,AK,64.58223664573688,3.283957518166573,6.230090032398639,91.76941611900124,3.3393119766425894,24.949394085755998,19.892194478664113,11.0,3.0,0.0,1.6691729551493226,0.4552289877679971,0.9416254967074494,0.0,0.0
2020,Alaska,77790,98811,736990,668158,466961,23894,47289,23787.0,10.3,7.2,180787,4299,30216,31537,55357,27857,AK,63.36056120164453,3.2421064057856963,6.416504972930433,90.66038887908927,3.2275878912875346,24.530454958683293,20.253463411986594,10.0,3.0,0.0,0.05016441134997899,0.015049323404993696,0.09325475894577359,0.0,0.0
