state,year,hate_crime
AK,2016,11
AK,2017,4
AK,2018,5
AK,2019,11
AK,2020,10
AL,2016,14
AL,2017,14
AL,2018,0
AL,2019,1
AL,2020,26
AR,2016,12
AR,2017,24
AR,2018,22
AR,2019,14
AR,2020,50
AZ,2016,215
AZ,2017,233
AZ,2018,159
AZ,2019,195
AZ,2020,276
CA,2016,928
CA,2017,1093
CA,2018,1063
CA,2019,1013
CA,2020,1336
CO,2016,100
CO,2017,77
CO,2018,96
CO,2019,229
CO,2020,280
CT,2016,108
CT,2017,109
CT,2018,92
CT,2019,80
CT,2020,97
DC,2016,115
DC,2017,194
DC,2018,213
DC,2019,222
DC,2020,134
DE,2016,15
DE,2017,29
DE,2018,21
DE,2019,22
DE,2020,13
FL,2016,110
FL,2017,145
FL,2018,141
FL,2019,111
FL,2020,109
GA,2016,39
GA,2017,26
GA,2018,37
GA,2019,146
GA,2020,252
IA,2016,17
IA,2017,10
IA,2018,15
IA,2019,9
IA,2020,21
ID,2016,27
ID,2017,41
ID,2018,23
ID,2019,21
ID,2020,48
IL,2016,111
IL,2017,85
IL,2018,110
IL,2019,66
IL,2020,61
IN,2016,79
IN,2017,97
IN,2018,96
IN,2019,87
IN,2020,184
KS,2016,52
KS,2017,77
KS,2018,75
KS,2019,75
KS,2020,124
KY,2016,214
KY,2017,377
KY,2018,228
KY,2019,136
KY,2020,155
LA,2016,25
LA,2017,42
LA,2018,45
LA,2019,26
LA,2020,61
MA,2016,368
MA,2017,407
MA,2018,338
MA,2019,345
MA,2020,369
MD,2016,38
MD,2017,100
MD,2018,47
MD,2019,18
MD,2020,40
ME,2016,41
ME,2017,31
ME,2018,20
ME,2019,19
ME,2020,84
MI,2016,406
MI,2017,454
MI,2018,439
MI,2019,404
MI,2020,420
MN,2016,116
MN,2017,142
MN,2018,125
MN,2019,140
MN,2020,191
MO,2016,88
MO,2017,104
MO,2018,66
MO,2019,90
MO,2020,131
MS,2016,20
MS,2017,49
MS,2018,10
MS,2019,20
MS,2020,36
MT,2016,21
MT,2017,21
MT,2018,12
MT,2019,37
MT,2020,26
NB,2016,31
NB,2017,41
NB,2018,39
NB,2019,44
NB,2020,100
NC,2016,144
NC,2017,164
NC,2018,137
NC,2019,267
NC,2020,345
ND,2016,13
ND,2017,15
ND,2018,10
ND,2019,19
ND,2020,22
NH,2016,29
NH,2017,15
NH,2018,13
NH,2019,16
NH,2020,29
NJ,2016,283
NJ,2017,503
NJ,2018,543
NJ,2019,817
NJ,2020,1184
NM,2016,26
NM,2017,7
NM,2018,46
NM,2019,52
NM,2020,64
NV,2016,41
NV,2017,5
NV,2018,37
NV,2019,47
NV,2020,143
NY,2016,595
NY,2017,554
NY,2018,523
NY,2019,612
NY,2020,465
OH,2016,469
OH,2017,382
OH,2018,360
OH,2019,345
OH,2020,551
OK,2016,35
OK,2017,28
OK,2018,30
OK,2019,29
OK,2020,58
OR,2016,108
OR,2017,150
OR,2018,132
OR,2019,170
OR,2020,271
PA,2016,72
PA,2017,76
PA,2018,68
PA,2019,45
PA,2020,80
RI,2016,12
RI,2017,11
RI,2018,13
RI,2019,17
RI,2020,14
SC,2016,30
SC,2017,82
SC,2018,65
SC,2019,57
SC,2020,123
SD,2016,18
SD,2017,15
SD,2018,20
SD,2019,20
SD,2020,17
TN,2016,148
TN,2017,135
TN,2018,156
TN,2019,112
TN,2020,130
TX,2016,179
TX,2017,180
TX,2018,401
TX,2019,402
TX,2020,547
UT,2016,66
UT,2017,47
UT,2018,44
UT,2019,34
UT,2020,52
VA,2016,127
VA,2017,216
VA,2018,150
VA,2019,169
VA,2020,187
VT,2016,25
VT,2017,31
VT,2018,43
VT,2019,34
VT,2020,77
WA,2016,392
WA,2017,507
WA,2018,511
WA,2019,502
WA,2020,437
WI,2016,39
WI,2017,42
WI,2018,48
WI,2019,49
WI,2020,156
WV,2016,41
WV,2017,38
WV,2018,85
WV,2019,54
WV,2020,82
WY,2016,3
WY,2017,4
WY,2018,0
WY,2019,5
WY,2020,18
FS,2016,0
FS,2017,3
FS,2018,80
FS,2019,113
FS,2020,204
HI,2016,0
HI,2017,0
HI,2018,44
HI,2019,40
HI,2020,36
